,Tata Open,Tata High,Tata Low,Tata Close,Tata Adj Close,Tata Volume
03-07-2022,3450,3548,3431.550049,3484.899902,3375.187256,3054130
03-04-2022,3501.5,3561.199951,3487.050049,3524.350098,3413.395508,2370257
03-03-2022,3562.850098,3578.600098,3530.100098,3544.399902,3432.813965,1928039
03-02-2022,3552.5,3571.949951,3506,3546.149902,3434.508789,2761341
2/28/2022,3490,3563.75,3455.899902,3554.199951,3442.30542,3288942
2/25/2022,3468,3530,3462,3520.75,3409.908447,2549723
2/24/2022,3474,3483.850098,3391.100098,3401.649902,3294.558105,5039136
2/23/2022,3611,3622.899902,3555.649902,3563.800049,3451.603516,2426203
2/22/2022,3650,3667.899902,3570,3586.399902,3473.491699,5408531
2/21/2022,3810,3827.800049,3705.550049,3719.399902,3602.304443,7465922
2/18/2022,3769,3815.949951,3757.600098,3793.899902,3674.458984,3688883
2/17/2022,3825,3835,3779,3784.199951,3665.064697,3134372
2/16/2022,3844,3854.100098,3806,3813.100098,3693.054688,3256906
2/15/2022,3786,3835,3748,3817.800049,3697.606934,3931683
2/14/2022,3724,3793.25,3710,3733.75,3616.202637,5951745
02-11-2022,3752.5,3752.5,3690,3694.949951,3578.624268,3851488
02-10-2022,3789.800049,3789.800049,3758,3770.350098,3651.650879,2112459
02-09-2022,3750,3777.949951,3746.100098,3760.550049,3642.15918,1638721
02-08-2022,3791.550049,3799.699951,3721,3743.449951,3625.597656,2946443
02-07-2022,3791,3831.800049,3756.149902,3779,3660.02832,1919149
02-04-2022,3815.300049,3824.699951,3769,3814.899902,3694.797852,2307366
02-03-2022,3851,3882.5,3816.050049,3824.600098,3704.192871,1960538
02-02-2022,3827.899902,3864,3800.649902,3856.199951,3734.797852,1984212
02-01-2022,3770,3808,3736.399902,3800.649902,3680.996582,2105169
1/31/2022,3749,3758,3721.399902,3736.25,3618.624512,2739393
1/28/2022,3646,3729.800049,3646,3690.050049,3573.878662,3143862
1/27/2022,3731,3733.399902,3625.100098,3649.25,3534.363281,5718297
1/25/2022,3769.5,3809.399902,3722.199951,3769.899902,3651.2146,3330501
1/24/2022,3840,3849.649902,3740.100098,3771.350098,3652.619385,3258414
1/21/2022,3807,3851.550049,3771.100098,3833.5,3712.812256,3112358
1/20/2022,3910,3920,3811,3826.550049,3706.081299,6176776
1/19/2022,4012,4012,3910.5,3914.649902,3791.407715,3102539
1/18/2022,4033.949951,4041.699951,3980,3990.600098,3858.187012,2389041
1/17/2022,3992.699951,4043,3962.300049,4019.149902,3885.789551,3442604
1/14/2022,3877.850098,3977,3860.050049,3968.149902,3836.481934,3348123
1/13/2022,3918,3923,3857,3897.899902,3768.562988,6684507
01-12-2022,3925,3929,3836.550049,3859.899902,3731.82373,3203744
01-11-2022,3856,3925,3856,3915.899902,3785.965576,1906106
01-10-2022,3978,3978,3861,3879.850098,3751.111816,3937092
01-07-2022,3820,3864.899902,3796.399902,3853.5,3725.635986,2460591
01-06-2022,3812,3835,3772,3807.449951,3681.114258,1810293
01-05-2022,3865,3870,3812.399902,3860.949951,3732.839111,1733031
01-04-2022,3831.100098,3889.149902,3811.699951,3884.75,3755.849365,2488606
01-03-2022,3750,3830,3745,3817.75,3691.072266,2346158
12/31/2021,3742.800049,3760,3731.300049,3738.350098,3614.307129,1207141
12/30/2021,3681.350098,3740,3680,3733.75,3609.859863,1966475
12/29/2021,3692.25,3719.949951,3685,3694.699951,3572.105469,1456923
12/28/2021,3710,3725,3693.850098,3706.550049,3583.562012,1456218
12/27/2021,3671,3700,3653.100098,3696.100098,3573.458984,1534135
12/24/2021,3685,3705,3644.800049,3670.899902,3549.094971,2209923
12/23/2021,3648,3670.5,3630,3662.699951,3541.166992,1792861
